followers_count,user_key,description
13196,BleepThePolice,"For a second at least, I'm resurrecting the peace

#Blacktivist #BlackLivesMatter"
851,WatchMeWalkin,Working - Music geek + Blacker than BlackHole
3229,MichelleArry,Cautiously Optimistic Conservative. Gathering followers one at a time
856,RegieBlackmon,"I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel."
766,CornellBurchet,"A world for a few, a few to justice, lands in the hands of a few, few to education, wealth for a few. A world composed of an arrogant elite, perverse and biased"
2078,JacquelinIsBest,"I love God,my family & politics. Conservative. MARRIED!
#tcot #PJNET"
1506,Kelvin_Chambers,"Father of twin daughters. Conservative Republican. Interested in world events, politics, and sports. RT= whatever I find interesting"
876,RandolphBurrr,"#FreeGucci
Blacktivist, I'm down with #BlackLivesMatter and #BRONZE 
United we stand"
,Pamela_Moore13,
899,ZzzacharyZzz,"i work out hard as fuck, bench press and lift as much as I can, so if me and the cops ever get into it… God bless the one that I grab #FTP #ACAB #BlackPower"
1468,CooknCooks,"HI FBI !!! #TRUMP, #Trump2016, @realdonaldtrum, #WAKEUPAMERICA, #MakeAmericaGreatAgain, #SOCIALMEDIA, #Blogger, #PJNET, #CCOT, #Chicago,, #MASTER, #MUSIC,"
698,OneMightyFish,"People are just afraid of things too much. Afraid of things that don't necessarily merit fear  - Franc Ocean
#BlackToLive"
536,KenzDonovan,Const Conservative Patriot Mamma❤️Defending #Liberty & #Freedom!❤️Luv #fam #friends #dogs & dancing cha-cha-cha!❤️
906,Jani_s_Jac,"i aint shit now, but bitch i might be ✨
#FreeGuwop #BlackLivesALWAYSMattered"
1080,IIddaaMarks,An unexamined life is not worth living. –Socrates
1623,DonnaBRivera,Constitutional Conservative #1A #2A #NRA #StandWithIsrael #TCOT #CCOT #LNYHBT #ProLife #SupportMilitary #BlueLivesMatter #SecureTheBorder #GodBlessAmerica
2727,HunterOddddom,Life is 10% what happens to me and 90% of how I react to it. –Charles Swindoll
3169,MelvinSRoberts,Internet junkie #hashtagwars lover!
914,mrclydepratt,"Life is a beautiful struggle. Seek enlightenment, not hate
#BlackToLive"
1893,DorothieBell,"Conservative wife, mother! Extremely proud of our veterans!! Lets take this once great country back!!!"
774,OGDeandre,Read the mess I tweet & retweet about & you'll have an idea of the kinda person I am✌
851,DrMichaelGarcia,I make privileged people upset #BlackLivesMatter #FistsUpAfrosOut
768,brianaregland,Black is my religion. If you buy me lipstick we go together #AllBlackEverything #WokeAF
1839,RyanMaxwell_1,"Conservative. sports fan. Doing what I love, promoting Conservatism. #PJNET #TCOT #Conservative"
807,ravenicholson,Everybody deserves to know they too can be the hero of a story. I’m just a regular guy trying to put those heroes in stories
405,ArturBuranof,"Лучшее средство привить детям любовь к отечеству состоит в том, чтобы эта любовь была у отцов."
108,Boryabuchin,"Москва, как много в этом звуке Для сердца русского слилось, Как много в нем отозвалось!"
81,Puddin_Leto,"Вы верите в дружбу, а я верю в шантаж."
2111,teZaharov,"Высшая доблесть состоит в том, чтобы совершать в одиночестве то, на что люди отваживаются лишь в присутствии многих свидетелей."
2466,Valeyina_Dm,Против белоленточной чумы #ЯПатриотка
2741,BogdanKravcov,Любовь к Отечеству - это готовность защищать его независимость.
2219,_SashaLapin,"У Пушкина есть грандиозная фраза...
Гордиться славою своих предков не только можно, но и должно. Не уважать оной есть постыдное малодушие"
23876,WarfareWW,Political & Military Analyst
1363,wadeharriot,"Christian, Husband, Father, American, Conservative, Tea Party, Fisherman, Gun Owner, Engineer, USN Vet #BodyLife #TCOT #TGDN #2A #TPFA #CruzCrew #PJNET"
888,JadonHutchinson,"People often say that motivation doesn’t last. Well, neither does bathing. That’s why we recommend it daily."
4515,Kotovamarys,"Родина там, где чувствуешь себя свободно."
16812,DailySanFran,"Follow for San Francisco's breaking news, special reports, entertainment and more from @DailySanFran"
1609,interFischer,"I believe in God, Bible, Country, 2nd Amendment rights. I Stand by Israel, Supporter of TRADITIONAL Marriage
#RedNationRising"
2535,TaisiaAvdeeva,"Сегодня я настоящая ватница: в ватнике, со сладкой ватой и только что от Соловьева"
75,patriotka_rusi,умная
4507,russilanrogov,"Умом Россию не понять, Аршином общим не измерить: У ней особенная стать — В Россию можно только верить."
97,rusnevrotik,
2360,razvedchica_,"За Россию! Знаю много, говорю мало"
76,ponomarevSlav,
2513,ViBorisova,"На первом месте должны быть родина и родители, потом дети и вся семья, а затем остальные родственники."
2233,ChernenkoNikola,"Патриотизм, чей бы то ни был, доказывается не словом, а делом."
2452,RomanAgafonovv,"Человек, а это в наше время редкость!"
2204,StepanSazono,"Только доблесть бессмертно живет, Ибо храбрые славны вовеки!"
2495,VasilichVasili,"Попади только на чужбину, так начнешь уверять, что у нас свиньи жареные разгуливают."
2189,ErofeenkoAnton,"Десантников бывших не бывает! Воин дяди Васи, события на Украине не одобряю!"
337,Aleksey_Sokol_,"Член ВПП Единая Россия, , зам. председателя МГЕР МО Марьино"
3696,traceyhappymom,"Great thoughts speak only to the thoughtful mind, but great actions speak to all mankind."
2161,BrucieDublin,
2970,KathieMrr,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring"
1957,Jasper_Fly,#hashtagwarrior and your mom knows it!
2668,EvaGreen69,"God comes 1st. My Daughters, & my husband retired Navy Vet, are the center of my world.. Serving the Lord for the rest of my life. TRUMP 2016!"
2452,romanGorolov,Работаю в Государственной ветеринарной службе Забайкальского края. Вижу Россию сильной страной
70,6Druz,"Если я стану похож на своих родителей, то либо стану блондинкой-алкоголичкой, которая гоняется за двадцатилетними парнями, либо буду, как моя мама."
2145,PaolaKinck,"stand 4 conservatism, patriotism & optimism: Don't Take My Lemonade Stand & Obama 2012 Slogans.Protect our Kids! #WakeUpAmerica"
1857,heyheyhailey,
1374,CalebPaar,
1688,happkendrahappy,"Stop trying to fix the POLICE; fix the GHETTO! 

#WakeUpAmerica #TCOT #PJNET #BlueLivesMatter"
1857,dannythehappies,You know you're in love when you can't fall asleep because reality is finally better than your dreams
2412,Kolradskiy_Zhuk,Люблю Россию и ничего не могу с собой поделать
168,sovasof,"нельзя выбросить человека из головы.
а из окна - можно."
2456,holycrapchrix,Addicted to #hashtag #games
2508,Stanley_Cox_,"christian, pro life,conservative,strong supporter of Israel. Constitutionalist, #2A supporter"
1424,heyits_toby,"Guardian of the Animals, Conservative, DIY'er, ninja #tcot"
2160,GvardeykaLena,Вступай в #МолодаяГвардия
2011,mr_clampin,
19525,ChicagoDailyNew,"Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7"
126,MsM0re,Об твое сердце мог бы разбиться даже Титаник.
2211,AlexsVladimirov,
83,LapinOlegg,Любовь к родине — первое достоинство цивилизованного человека.
2147,SovetnikStatski,"Говорунов много, а бойцов, на всю Россию — я и эти трое!"
51,Sergbriantsev,"Только одно отечество заключает в себе то, что дорого всем."
4009,LoraGreeen,Be the change that you wish to see in the world
18704,OnlineMemphis,"Breaking news, weather, traffic and more for Memphis and Tennessee. DM us anytime. RTs not endorsements"
1794,Aiden7757,"In order to succeed, your desire for success should be greater than your fear of failure."
32846,Politweecs,Tweets and politics
102,shapka_mono,Ясно - и конец диалогу
18617,DetroitDailyNew,"Local news, sports, business, politics, entertainment, travel and opinion for Detroit. DM us 24/7"
1545,toneporter,
1545,LeroyLovesUSA,"Conservative #tcot #pjnet ReTweets ≠ Endorsement
#GodBlessAmerica"
1969,hipppo_,Striving for excellence motivates you; striving for perfection is demoralizing
912,mihanovikov,Мила нам добра весть о нашей стороне: Отечества и дым нам сладок.
2464,GlebNikon,"Патриот — это человек, служащий родине, а родина — это прежде всего народ."
2467,Sergeev_Tolik,"Те, кто отвергает религию, со временем теряют уважение к таким ценностям и понятиям, как честь, родина и нация."
87,Denn_Nikitin,
2163,BorisEleseev,Служу России!!!
21072,russianallies,"Александр III: У России есть только два союзника: её Армия и Флот. 
Новости об армии из оружейной столицы России"
1982,RealRobert1987,"Faith, Honesty, Family, Work, Self Discipline, Loyalty, Courage, Defending Innocent, Personal Responsibility. Patriot. Conservative
#WakeUpAmerica"
1704,queenofthewo,"I have not failed. I've just found 10,000 ways that won't work"
212,Bocharnikov_V,И дым отечества нам сладок и приятен!
2231,AlexHarritonov,Общественный деятель
1688,JudeLambertUSA,"God. Country. Family. #tcot
#RedNationRising  #InGodWeTrust"
25356,KansasDailyNews,"Local news, sports, business, politics, entertainment, travel and opinion for Kansas. DM us 24/7"
1710,CassieWeltch,"Ask and it will be given to you; search, and you will find; knock and the door will be opened for you"
1313,PatriotRaphael,"Pissed off patriot. #2A supporter #tcot
#WakeUpAmerica"
18917,TodayPittsburgh,"Pittsburgh's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM"
1738,JarrardNorman,What’s money? A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do.
1409,finley1589,"Conservative. Politics. Pro-Life. Writer. 
#GodBlessAmerica #WakeUpAmerica #InGodWeTrust"
3557,AmandaVGreen,You have to go through the worst to arrive at your best
15904,PhiladelphiaON,"Breaking news, weather, traffic and more for Philadelphia and Pennsylvania. DM us anytime. RTs not endorsements"
1780,pureDavie,I would rather die of passion than of boredom.
17851,DailyLosAngeles,"Follow for LA's breaking news, special reports, entertainment and more from @DailyLosAngeles"
47080,LavrovMuesli,"Держу МИД, спорю с дебилами, бл@#%.
Пародийный аккаунт, содержит «юмор», «комментарии» и «недостоверную информацию».  Берегите себя и своих близких."
3080,brightandglory,
2035,PatriotBlake,"Big Government=corruption, #NRA, Conservative, My Tweets=my personal opinions
#GodBlessAmerica"
2496,BGarner2107,embrace yourself
1907,cascaseyp,Do not let what you cannot do interfere with what you can do.
31729,WashingtOnline,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements"
60897,TodayNYCity,"New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM"
16297,OnlineCleveland,"Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements"
14895,PhoenixDailyNew,"Local news, sports, business, politics, entertainment, travel and opinion for Phoenix and Arizona. DM us 24/7"
19506,SanAntoTopNews,"San Antonio top news and stories, powered 24/7"
24344,GiselleEvns,"if you don't work hard to achieve your dreams, you'll never achieve them"
20941,DanaGeezus,Producer
61609,Jenn_Abrams,Politics is a circus of hypocrisy. I DO care. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com
42000,TheFoundingSon,
18062,ChrixMorgan,I'm so funny. I can make myself laugh
5786,NewspeakDaily,it's never too late to reinvent the bicycle
13214,ScreamyMonkey,First frontier.News aggreagtor.
11237,SpecialAffair,Political junkie in action
6406,Baltimore0nline,"Breaking news, weather, traffic and more for Baltimore. DM us anytime. RTs not endorsements"
8329,StLouisOnline,"Breaking news, weather, traffic and more for St. Louis. DM us anytime. RTs not endorsements"
2804,RichmondVoice,Richmond's latest news source. Follow us for original reporting and trusted news @RichmondVoice. DM your local news tips
1483,Aldrich420,"Retired Chief Financial Officer, Patriot, Conservative Constitutionalist, 2nd Amend Supporter, Penn State Grad - Political Science, Fitness Enthusiast"
1831,Hollydler,"I live by the creed God, family, country. I'm a #BlueLives family. #lnyhbt #tcot #Israel #ccot #PJNET #policeLivesMatter"
2286,PriceForPierce,Constitutional conservative-Pro life-Pro 2nd amendment-Christian
1916,Mil0Blake,"Faith, Honesty, Family, Work, Self Discipline, Loyalty, Courage, Defending Most Innocent, Personal Responsibility & Helping Others Help Themselves #tcot"
1590,DevineDevinBr,"#JESUS IS MY LOVE - TEA PARTY. ARREST OBAMA REGIME #TCOT
#RedNationRising #InGodWeTrust"
4108,NewarkVoice,Newark's latest news source. Follow us for original reporting and trusted news @NewarkVoice
3110,BatonRougeVoice,Baton Rouge's latest news source. Follow us for original reporting and trusted news @BatonRougeVoice. DM your local news tips
19314,gloed_up,"No black person is ugly 
#BRONZE #BlackLivesMatter #BlackToLive"
7379,WorldOfHashtags,Hosted by @GiselleEvns. Join #WorldOfHashtags game on Mondays at 9AM ET/ Wednesdays at 10AM ET
26430,todayinsyria,News about war in #Syria & #ISIS
15026,blackmattersus,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM"
19976,tpartynews,
4733,4MySquad,#BlacklivesMatter
4555,BlackEyeBlog,Education and information is our tool and weapon. And we are going to use them.
8339,Blk_Voice,"Black is the new Black!
#BlackLivesMatter"
5391,ItsTimeToSecede,TX patriots united for real action. Secede if Hillary! #2A #NeverHillary #Texit #TexasSecede
11518,BlackNewsOutlet,Freedom is never given; it is won. #BlackLivesMatter
9297,rightnpr,Conservative; Politically incorrect; Christian. Proud American; The only Left we have is Regressive Left
22049,SouthLoneStar,Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16 PC is against Freedom of speech and Islam is against western culture
4683,dontshootcom,'Don't Shoot' aims to empower and encourage people to take action in struggle for social justice. Unite and fight against #PoliceBrutality!
11756,TrayneshaCole,"Love for all my people of Melanin. Your BLACK is BEAUTIFUL!
#MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter"
1000,GallowayEliana,"Slave blood. Melanin. Water. Fire. Honey
#BlackLivesMatter bih"
1194,CatelineWatkins,
953,SusaYung,"I live my own life, #blacktivist"
470,taraformation,"Love my Human family. I hate injustice.Im ready for the Beast ,no matter what form ,shape,size,nationality,color."
670,BigSeanBeast,"everybody wants to be a nigga, but nobody wants to be a nigga.
#BlackLivesAlwaysMatter"
724,NotBallinYet,"A voice of resistance from a person of color living in America |
#BlackToLive!"
838,ClayPaigeBoo,"Warrior for the Injustices done to my people.
#BlackLivesMatter"
612,FightM_D_B,fuck my bitch or fuck your bitch... Ican't make my mind up
338,hollandpatrickk,"Lover of Life and Israel, Jesus and Country music! Conservative Christian! #NRA#2A #Infidel #tcot #InGodWeTrust"
2780,KaydenMelton,"Either you run the day, or the day runs you. –Jim Rohn"
704,CharlesRespeck,Official feed of corrupt Police in USA. We are just getting started - expect us. #BlackLivesMatter #ACAB
2355,HellieEdwards,
51,WonderHann,I'm a wonderwoman and wonderwomen don't cry
,MarissaImStrong,
876,JohnieVOGUE,"Hope for the best. Expect the worst. ✊ I'm not afraid of dying, I'm afraid of not trying"
870,maymaymyy,I got a .45 in my Louis bag yeah #ALLBLACKLIVESMATTER
795,ImaSwerve,BassLine Junkie | Black Lives Matter Activist | Baller | Nigga with Attitude
612,SincerePruitt,I'd love to trade weekdays for weekends. ⏰ ⏳ ⌛
830,JeaNuttella,It's hard to believe all this shit whats going on #BLACKLIVESMATTER
849,JohnBranchh,Your biggest fear should be the fact I'm Black and my life matters.
1317,KarenParker93,"Dear LORD, please bless & protect our Military, IJN! 

#RenewUS 
#PJNET 
#CCOT 
#TCOT
#WakeUpAmerica"
2823,TessyElmore,"18. the struggle is real, but so is God♡. /musicholic/#BlackLivesMatter"
717,AdrGreerr,"The most difficult thing is the decision to act, the rest is merely tenacity."
815,DamaniMiles,"Unfadeable so please don't try to fade me |
Blacktivist | 
#StayWoke, Monica"
1799,RH0lbr00k,"ALL LIVES MATTER I'm a True Conservative Christian Patriot. I love God, I Love my Country. #pjnet #tcot #GodBlessAmerica"
810,FinnaGlo,The worst fool is an educated one…
674,JohnieBoyCooks,"warm as the sun, dipped in black. full time protagonist, womanist, & revolutionary | STRENGTH, COURAGE, & WISDOM."
835,AdamChapmanJR,"Womanist/ #allblacklivesmatter/ Don't be a dick, it's not that difficult /Anthropology major at the University of Arizona"
880,BrianTheLifter,"If you don't stand for anything, you will fall for everything #blacklivesmatter"
782,WokeFromDay1,I will not drown in the rising tide of conformity. I will not let authority ignore me. #staywoke ☯
571,WillisBonnerr,You miss 100% of the shots you don’t take
596,JerStoner,"If I rude, I rude. Author of All In Love Is Fair"
691,NehemiahX,"sometimes i feel like Malcolm X before prison.. sometimes i feel like Malcom X after Mecca..
#black #blackpride"
909,QueennArielle,"If you want your children to turn out well, spend twice as much time with them, and half as much money."
591,RobertEbonyKing,"Gamer blerd4life, introvert #GodsMiracleChild #blacklivesmatter. searching for my ebony queen. get to know me I won't be quiet I promise"
668,JohnnyMarch_,I proud of myself. Imma black
774,KenCannone,live your life to the fulles
942,janelperkinson,"Mom. Grad Student. Agnostic Atheist. Nerd. I tweet about race, politics, technology, science, etc. #BlackLiberationMovement"
897,aantiracist,"Reparations will address society's racism. Let's do more than talk about it, it's time to unite & act on this. Make Black America Great!"
678,cookiiieeessss,I eat that cookie like a monster
711,BriceGeller,"Only the strong survives! Be brave!
#StayWoke"
674,CoryNaeNae,YOUR LEADERS ARE WEAK. WE WILL CRUSH THEM. #BlackLivesMatter #PipeItUp
555,BigBoySneed,Because Pro-Intellect would have been too cliche. FAMU Graduate.
646,BrentMcclure275,"In bad luck, hold out; in good luck, hold in. Slow and steady wins the race and the road to a friends house is never long. #teamblack #antiracist"
1404,ChesPlaysChess,"God Bless America! #Christian, #American, #Patriot, #TeaParty, #TGDN, #TCOT, #NRA, #LNYHBT, #PJNET"
1262,Pati_Cooper,Just because I am white - I am not racist. Sick of fake racism & being walked on. Conservative - Take America back. RIGHT VS WRONG - learn it!
44470,coldwar20_ru,"Единственный аккаунт, проплаченный Кремлём."
866,CliftonHughes_,Black people will change the world
1619,NotRitaHart,Lost in the moment
33,AustinLovesBeer,Show me the meaning of being lonely
27745,NewOrleansON,"Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements"
2187,LazyKStafford,I'M AN AMERICAN LOVING PATRIOT-MARRIED TO A VIETNAM VET-CHRISTIAN & DEDICATED TO SAVING R FREEDOM!
858,abigailssilk,
14648,ElPasoTopNews,"El Paso top news and stories, powered 24/7"
2569,DominicValent,Try to be a rainbow in someone's cloud
16483,TodayCincinnati,"Cincinnati's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM"
1302,JmsCoxxx,"After all is said and done, a lot more will have been said than done"
15376,TodayBostonMA,"Boston's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM"
2033,DickyIrwin,Well done is better than well said
17222,Seattle_Post,"Be the first to know Seattle's local news. Politics, sport, entertainment, business, features and more that you need to know and share"
16678,HoustonTopNews,"Houston top news and stories, powered 24/7"
15702,DailySanDiego,"Follow for San Diego's breaking news, special reports, entertainment and more from @DailySanDiego"
18843,DallasTopNews,"Dallas top news and stories, powered 24/7"
17346,Atlanta_Online,"Breaking news, weather, traffic and more for Atlanta and Georgia. DM us anytime. RTs not endorsements"
18832,TodayMiami,"Miami's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM"
609,enTatjanaMax,I'm scandinavian traveller and blogger.Also I write about politics EU.
12147,OaklandOnline,"Breaking news, weather, traffic and more for Oakland. DM us anytime. RTs not endorsements"
2643,JacksonCityPost,#CityOfJackson #Jackson #USA #America #US
0,kelvsok,I like to go to parties and talk about memes
6,nataturn,
20247,NovostiDamask,
11811,patriototus,"Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet"
7669,Patriot_Archive,American history in quotes & videos. Mostly politics.
5550,MissouriNewsUS,#NeverHillary
2960,Luke_Jones13,A silent American patriot who was awoken by Donald Trump’s call to Make America Great Again.
,RealTEN_GOP,
,March_for_Trump,
2820,nj_blacknews,Latest and most important news about New Jersey black community
9767,redlanews,Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.
2458,blacneighbor,
8462,Jeblary2016,2016 US presidential candidate
2471,MUSLIMS_IN_USA,
112,OooonlyOne,
241,OstrovOfficer,Я смешной (всегда смеюсь над своими шутками)
149,DannyMaslov,"Люблю хоккей, слежу за политикой #hcSKA"
152,gffgfsfgfsdffjj,
95,OH_Frida,"Нет ничего дороже смеха, с его помощью можно оторваться от себя, стать невесомой."
79,Shocko_10,
84,HorrorKi,"Обещания дают, чтобы нарушать, чтобы
разрушать, разбивать вдребезги, на мелкие
кусочки, дробить"
76,MikkyRurk,HA HA HA HA HA HA HA HA
76,Zistti,Хочется выпить.
2347,LysikVinkova,активистка
2096,arkadii_trofim,"Может жизнь в России и не легка, но я люблю эту страну..."
85,Lila_Gorila,"Я же росла нормальным ребенком, дальше чё случилось-то?"
98412,MaxDementiev,Мне не всё равно
289,YatTVRussia,Группа самоотверженных и весьма независимых аниматоров.
14,Leecory,here i am~
4749,MaksBlaginin,"Мила нам добра весть о нашей стороне
Отечества и дым нам сладок."
6360,TebePizdec,это полный пиздец/18+/уёбывай
329,KrasilnikovBor,"Михаил Лермонтов со шведскими корнями и Александр Пушкин с африканскими корнями были более русскими, чем многие чистокровки"
94,BanttaNantta,"Я уеду жить в свитер,
И возьму с собой бутер"
2305,RogovIlia,"Справедливость доблесть избранных натур, правдивость долг каждого порядочного человека"
186,KrustyPs,
1468,PoliceStateMe,
2933,MidEastView,#اخبار عاجلة ومهمة حول الحرب والسلم في #سوريا
1267,anzgri,Никто.
785,LynsRodriguez,Amateur travel fanatic
955,MeggieONeil,love yourself or no one will love you
536,EdmundRJr,"EAT,SLEEP,BLEED MUSIC. BROOKLYN BRED, HOME FED. TALK SHIT AT YOUR OWN RISK!! WELCOME TO THE DANGER ZONE."
285,margoberoeva,пишу учебник по истории моды
1363,DonnieLMiller,stars are mine
74,heyitsglor,What's up?
11370,riafanru,"ВКонтакте: https://vk.com/riafan
Facebook: https://www.facebook.com/riafanru
Одноклассники: http://ok.ru/fannews"
26002,zubovnik,Журналист и блогер
29524,PigeonToday,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes."
19,mbrownhere,
